業種,企業コード,市場,企業名,URL,概要
建設業,1871,東証1部,(株)ピーエス三菱,http://www.psmic.co.jp/,三菱マテリアル系。コンクリート橋梁トップ級。ＰＣ（プレストレストコンクリート）生産兼営
建設業,1873,JQS,東日本ハウス(株),http://www.higashinihon.co.jp/,在来型注文住宅大手。岩手本拠に全国展開。子会社で観光、ホテル、地ビール。マンション進出
建設業,1875,大証2部,青木マリーン(株),http://www.aokimarine.co.jp/,連続埋め立て工法などの海上土木会社。青木あすなろ建設の完全子会社化で７月２９日上場廃止
建設業,1878,東証1部,大東建託(株),http://www.kentaku.co.jp/,節税対策で賃貸住宅事業を地主に提案。仲介、管理、家賃保証までの一貫サービス提供に強み
建設業,1879,東証1部,新日本建設(株),http://www.shinnihon-c.co.jp/,建設と不動産開発（分譲マンション）が両輪。営業は首都圏中心で地方主要都市や中国にも進出
建設業,1881,東証1部,(株)ＮＩＰＰＯ,http://www.nippo-c.co.jp/,ＪＸホールディングス系の舗装大手。子会社に大日本土木。民間建築は実績豊富。不動産開発も
建設業,1882,東証1部,東亜道路工業(株),http://www.toadoro.co.jp/,独立系の道路舗装大手。アスファルト乳剤最大手で市況影響大。同業の佐藤渡辺に７％強出資
建設業,1883,東証1部,前田道路(株),http://www.maedaroad.co.jp/,道路舗装大手。施工監理に優れた小型工事が安定収益源。地場密着プラント持ち合材販売で優位
建設業,1884,東証1部,日本道路(株),http://www.nipponroad.co.jp/,清水建設系の道路舗装大手。社長は歴代生え抜き。地方自治体含め官庁工事で実績。民間シフト
建設業,1885,東証1部,東亜建設工業(株),http://www.toa-const.co.jp/,旧浅野系。海上土木が本業で海外も意欲的。陸上土木や建築も展開、安藤建設と技術、業務提携
建設業,1888,東証1部,若築建設(株),http://www.wakachiku.co.jp/,海上土木中堅。陸上土木へ展開。建築は採算重視で規模大幅縮小。保有不動産売却で収益流動的
建設業,1890,東証1部,東洋建設(株),http://www.toyo-const.co.jp/,海上土木大手。陸上・建築へ展開。フィリピン、ベトナムに強み。前田建設工業との協業を画策
建設業,1892,名証2部,徳倉建設(株),http://www.tokura.co.jp/,名古屋地盤の中堅ゼネコン。海洋土木から一般土木、建築に拡大。坂田建設子会社化で関東強化
建設業,1893,東証1部,五洋建設(株),http://www.penta-ocean.co.jp/,海上土木首位。準大手級に躍進の原動力だった国内建築拡大路線を変更。海外大型受注に注力
建設業,1896,東証1部,大林道路(株),http://www.obayashi-road.co.jp/,大林組の連結子会社。舗装以外に土木工事の売上比率が３割程度。下水道の管渠更生工事に注力
建設業,1897,大証2部,金下建設(株),http://www.kaneshita.co.jp/,近畿北部地盤の総合建設。民間建築部門拡充。強みの道路舗装等含め官公需比率漸減。好財務
建設業,1898,東証1部,世紀東急工業(株),http://www.seikitokyu.co.jp/,東急系。道路舗装の中堅。環境対応や景観など技術多彩。優先株取得と借入金返済を推進中
建設業,1899,東証1部,(株)福田組,http://www.fkd.co.jp/,新潟最大規模のゼネコン。県内土木主体から首都圏建築・開発へ展開。西日本でも事業拡大図る
建設業,1904,JQS,大成温調(株),http://www.taisei-oncho.co.jp/,空調、給水など設備工事中堅。クリーンルーム設計・施工も。中国、ハワイ、インドにも展開
建設業,1905,JQS,(株)テノックス,http://www.tenox.co.jp/,建設基礎工事の大手。テノコラム工法等独自の３工法武器に公共関連から民間建築を積極開拓
建設業,1906,JQS,(株)細田工務店,http://www.hosoda.co.jp/,戸建て住宅分譲が主力。施工力生かし請負も。東京・杉並を中心に神奈川・千葉など首都圏展開
機械,1909,東証2部,日本ドライケミカル(株),http://www.ndc-group.co.jp/,消火に強い防災設備機器大手。外資の買収受け００年非上場化、１１年再上場。初田製作所等と提携
建設業,1911,大証1部,住友林業(株),http://sfc.jp/,新築注文住宅と木材建材が２本柱。リフォームや都市開発、米国等での海外事業を育成強化中
建設業,1914,東証1部,日本基礎技術(株),http://www.jafec.co.jp/,地盤改良など基礎工事の専業大手。独自工法武器に民間分野の拡大図る。直営施工体制を強化
建設業,1916,東証1部,日成ビルド工業(株),http://www.nisseibuild.co.jp/,プレハブ建築、立体駐車場の大手総合メーカー。事業用施設プレハブ中心に共同住宅も扱う
建設業,1919,東証1部,(株)ヤマダ・エスバイエルホーム,http://www.sxl.co.jp/,木質プレハブ中堅。国内ファンド支援経てヤマダ電機筆頭株主に。スマートハウス相乗効果狙う
建設業,1921,東証1部,(株)巴コーポレーション,http://www.tomoe-corporation.co.jp/,体育館など大張間構造建築のパイオニア。文教関係に強み。電力鉄塔にも実績。不動産賃貸拡大
建設業,1924,東証1部,パナホーム(株),http://www.panahome.jp/,パナソニック傘下の住宅会社。軽量鉄骨プレハブ主力。エコ住宅等グループ力生かした商品展開
建設業,1925,東証1部,大和ハウス工業(株),http://www.daiwahouse.co.jp/,戸建て住宅からマンション・賃貸・商業・事業施設建築へ展開、各分野で有力、都市開発や海外も
建設業,1926,東証1部,ライト工業(株),http://www.raito.co.jp/,東北発祥。基礎・地盤改良など特殊土木中心。法面緑化・耐震補強に注力。民間建築も。好財務
建設業,1928,東証1部,積水ハウス(株),http://www.sekisuihouse.co.jp/,鉄骨主力の住宅首位。木造等も強化。全国直販体制に強み。海外でも事業展開。積水グループ
建設業,1929,東証1部,日特建設(株),http://www.nittoc.co.jp/,総合基礎工事の大手。環境、防災、補修分野に強み。不動テトラと業務提携、アジア進出に意欲
建設業,1930,東証1部,北陸電気工事(株),http://www.rikudenko.co.jp/,北陸電力系列の電気工事会社。北陸電力向け売上高約４割。地盤の北陸３県から徐々に全国展開
建設業,1931,大証2部,日本電通(株),http://www.ndknet.co.jp/,近畿圏地盤の電話・情報通信工事中堅。ＮＴＴ、日本ＩＢＭと近く、情報システム販売も展開
建設業,1933,大証2部,西日本システム建設(株),http://www.sysken.co.jp/,電気通信工事業者。九州地盤。ＮＴＴ関連工事主体、企業向けＬＡＮ・ＷＡＮ等非ＮＴＴも注力
建設業,1934,東証1部,(株)ユアテック,http://www.yurtec.co.jp/,東北電力系列の総合電気工事会社、売上高依存度５割強。風力発電に実績。関東圏での展開強化
建設業,1935,東証2部,(株)ＴＴＫ,http://www.ttk-g.co.jp/,中堅の電気通信工事業者。地盤の東北地区では最大手。ＮＴＴ向けが６割強、携帯基地局工事も
建設業,1936,名証1部,シーキューブ(株),http://www.c-cube-g.co.jp/,ＮＴＴ工事業者。ＮＴＴ比率高い。東海ではＮＤＳと競う。光関連、情報サービス等に注力
建設業,1937,東証1部,西部電気工業(株),http://www.seibu-denki.co.jp/,電気通信工事業者。ＮＴＴ工事主体に地盤の九州地区では最大手。情報ボックスやＬＡＮを強化
建設業,1938,東証2部,日本リーテック(株),http://www.j-rietec.co.jp/,総合電気設備工事。０９年４月千歳電工と保安工業が合併、ＪＲ東日本依存大。電力向け等も展開
建設業,1939,東証1部,(株)四電工,http://www.yondenko.co.jp/,四国電力系で売上比率過半。電気、空調工事のほか通信関連も育成、四国外の市場開拓も
建設業,1941,東証1部,(株)中電工,http://www.chudenko.co.jp/,中国電力系の電気工事会社で依存度３割弱。総資産の４割が投資有価証券で運用、持ち合い多い
建設業,1942,東証1部,(株)関電工,http://www.kandenko.co.jp/,東京電力系で電気設備最大手級、東電向け売上比率４割強。原子力、情報通信関連等の工事も
建設業,1944,大証1部,(株)きんでん,http://www.kinden.co.jp/,関電系で電設首位級。関電依存は約２０％。全国の通信工事など展開。外注先への技術教育徹底
建設業,1945,東証1部,(株)東京エネシス,http://www.qtes.co.jp/,火力・原子力発電所主体のメンテ、建設工事。東電関連の受注がメイン。省エネ事業にも着手
建設業,1946,東証1部,(株)トーエネック,http://www.toenec.co.jp/,電気工事業の大手。旧東海電気工事、中部電力の子会社。空調、情報通信等一般工事を強化中
建設業,1948,東証2部,(株)弘電社,http://www.kk-kodensha.co.jp/,三菱電機系の設備工事業者。三菱電機依存度は約３割。重電・電子機器の商品販売部門も併営
建設業,1949,東証1部,住友電設(株),http://www.sem.co.jp/,住友電工系。ビル、工場の内線工事が主体。電力、情報通信、プラント・空調工事も展開。海外熱心
建設業,1950,東証1部,日本電設工業(株),http://www.densetsuko.co.jp/,ＪＲ東日本中心に鉄道電気工事トップ。電気工事総合化を志向。情報通信でも全国的に営業展開
建設業,1951,東証1部,(株)協和エクシオ,http://www.exeo.co.jp/,ＮＴＴ工事など電気通信工事大手。情報通信、ＩＴ関連にも注力、グループ一体運営を強化中
建設業,1952,東証1部,新日本空調(株),http://www.snk.co.jp/,三井系の空調設備工事会社。原子力空調も手掛ける。微粒子可視化システムなど独自技術も展開
